,test_vs_ref_x,test,ref_x,ContrastName_x,variable,ref_value,test_vs_ref_y,ref_y,ContrastName_y,test_value
45481,GSM462883.ch1-vs-GSM462878.ch1,test_GSE18623_MG1655_1µg/ml_CHIR-090,ref_GSE18623_MG1655_1µg/ml_DMSO,GSM462883.ch1-vs-GSM462878.ch1,CHIR-090,-1µg/ml,GSM462883.ch1-vs-GSM462878.ch1,ref_GSE18623_MG1655_1µg/ml_DMSO,GSM462883.ch1-vs-GSM462878.ch1,-1+1µg/ml
45731,GSM508927.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint3_Rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508927.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508927.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508927.ch1-vs-GSM508950.ch1,37-21°C
45742,GSM508997.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint1_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508997.ch1-vs-GSM508950.ch1,OD600,0.6,GSM508997.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508997.ch1-vs-GSM508950.ch1,0.6-0.3
45744,GSM508997.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint1_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508997.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
45749,GSM508986.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint6_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508986.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508986.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508986.ch1-vs-GSM508950.ch1,37+8°C
45762,GSM508941.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint1_Rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508941.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
45766,GSM509008.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint1_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509008.ch1-vs-GSM508950.ch1,OD600,0.6,GSM509008.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509008.ch1-vs-GSM508950.ch1,0.6-0.3
45768,GSM509008.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint1_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509008.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
45779,GSM508992.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint4_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508992.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508992.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508992.ch1-vs-GSM508950.ch1,37+8°C
45803,GSM508928.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint4_Rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508928.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508928.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508928.ch1-vs-GSM508950.ch1,37-21°C
45827,GSM508936.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint4_Rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508936.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508936.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508936.ch1-vs-GSM508950.ch1,37-21°C
45833,GSM508948.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint8_Rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508948.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508948.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508948.ch1-vs-GSM508950.ch1,37-21°C
45864,GSM509018.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint11_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509018.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
45869,GSM508996.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint8_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508996.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508996.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508996.ch1-vs-GSM508950.ch1,37+8°C
45876,GSM509030.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint11_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509030.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
45881,GSM508938.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint6_Rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508938.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508938.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508938.ch1-vs-GSM508950.ch1,37-21°C
45887,GSM508940.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint8_Rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508940.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508940.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508940.ch1-vs-GSM508950.ch1,37-21°C
45894,GSM508925.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint1_Rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508925.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
45911,GSM508991.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint3_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508991.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508991.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508991.ch1-vs-GSM508950.ch1,37+8°C
45917,GSM508985.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint5_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508985.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508985.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508985.ch1-vs-GSM508950.ch1,37+8°C
45930,GSM509019.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint12_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509019.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
45954,GSM508981.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint1_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508981.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
45960,GSM508989.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint1_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508989.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
45965,GSM508984.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint4_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508984.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508984.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508984.ch1-vs-GSM508950.ch1,37+8°C
45983,GSM508994.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint6_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508994.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508994.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508994.ch1-vs-GSM508950.ch1,37+8°C
46001,GSM508979.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint7_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508979.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508979.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508979.ch1-vs-GSM508950.ch1,37+8°C
46008,GSM509007.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint11_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509007.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46013,GSM508977.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint5_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508977.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508977.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508977.ch1-vs-GSM508950.ch1,37+8°C
46026,GSM508949.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_control_timepoint1_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508949.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46044,GSM508965.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_control_timepoint1_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508965.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46061,GSM508932.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint8_Rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508932.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508932.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508932.ch1-vs-GSM508950.ch1,37-21°C
46067,GSM508995.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint7_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508995.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508995.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508995.ch1-vs-GSM508950.ch1,37+8°C
46074,GSM508973.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint1_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508973.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46079,GSM508935.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint3_Rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508935.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508935.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508935.ch1-vs-GSM508950.ch1,37-21°C
46085,GSM508937.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint5_Rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508937.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508937.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508937.ch1-vs-GSM508950.ch1,37-21°C
46092,GSM509009.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint2_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509009.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46121,GSM508983.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint3_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508983.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508983.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508983.ch1-vs-GSM508950.ch1,37+8°C
46127,GSM508943.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint3_Rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508943.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508943.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508943.ch1-vs-GSM508950.ch1,37-21°C
46133,GSM508931.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint7_Rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508931.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508931.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508931.ch1-vs-GSM508950.ch1,37-21°C
46146,GSM509006.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint10_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509006.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46151,GSM508944.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint4_Rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508944.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508944.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508944.ch1-vs-GSM508950.ch1,37-21°C
46158,GSM508933.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint1_Rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508933.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46164,GSM509029.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint10_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509029.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46175,GSM508987.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint7_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508987.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508987.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508987.ch1-vs-GSM508950.ch1,37+8°C
46188,GSM509017.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint10_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509017.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46194,GSM508957.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_control_timepoint1_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508957.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46265,GSM508939.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint7_Rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508939.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508939.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508939.ch1-vs-GSM508950.ch1,37-21°C
46271,GSM508978.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint6_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508978.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508978.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508978.ch1-vs-GSM508950.ch1,37+8°C
46277,GSM508945.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint5_Rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508945.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508945.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508945.ch1-vs-GSM508950.ch1,37-21°C
46295,GSM508976.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint4_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508976.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508976.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508976.ch1-vs-GSM508950.ch1,37+8°C
46306,GSM509020.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint1_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509020.ch1-vs-GSM508950.ch1,OD600,0.6,GSM509020.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509020.ch1-vs-GSM508950.ch1,0.6-0.3
46308,GSM509020.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint1_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509020.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46313,GSM508993.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint5_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508993.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508993.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508993.ch1-vs-GSM508950.ch1,37+8°C
46331,GSM508980.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint8_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508980.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508980.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508980.ch1-vs-GSM508950.ch1,37+8°C
46344,GSM508998.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint2_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508998.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46350,GSM509021.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_oxidativestress_timepoint2_rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM509021.ch1-vs-GSM508950.ch1,GROWTH.EXPONENTIAL,1,,,,
46361,GSM508929.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint5_Rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508929.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508929.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508929.ch1-vs-GSM508950.ch1,37-21°C
46367,GSM508988.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint8_rep2,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508988.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508988.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508988.ch1-vs-GSM508950.ch1,37+8°C
46409,GSM508930.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint6_Rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508930.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508930.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508930.ch1-vs-GSM508950.ch1,37-21°C
46415,GSM508947.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint7_Rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508947.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508947.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508947.ch1-vs-GSM508950.ch1,37-21°C
46421,GSM508975.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_heatstress_timepoint3_rep1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508975.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508975.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508975.ch1-vs-GSM508950.ch1,37+8°C
46433,GSM508946.ch1-vs-GSM508950.ch1,test_GSE20305_MG1655_coldstress_Timepoint6_Rep3,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508946.ch1-vs-GSM508950.ch1,TEMPERATURE,37°C,GSM508946.ch1-vs-GSM508950.ch1,ref_GSE20305_MG1655_control_timepoint2_rep1,GSM508946.ch1-vs-GSM508950.ch1,37-21°C
46550,GSM1375018.ch1-vs-GSM1374996.ch1,test_GSE57084_enrofloxacin_resistant_incubated_30days,ref_GSE57084_MG1655,GSM1375018.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46551,GSM1375019.ch1-vs-GSM1374996.ch1,test_GSE57084_enrofloxacin_resistant_incubated_30days,ref_GSE57084_MG1655,GSM1375019.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46552,GSM1375017.ch1-vs-GSM1374996.ch1,test_GSE57084_enrofloxacin_resistant_incubated_30days,ref_GSE57084_MG1655,GSM1375017.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46598,GSM1375011.ch1-vs-GSM1374996.ch1,test_GSE57084_tetracycline_resistant,ref_GSE57084_MG1655,GSM1375011.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46599,GSM1375013.ch1-vs-GSM1374996.ch1,test_GSE57084_tetracycline_resistant,ref_GSE57084_MG1655,GSM1375013.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46600,GSM1375012.ch1-vs-GSM1374996.ch1,test_GSE57084_tetracycline_resistant,ref_GSE57084_MG1655,GSM1375012.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46646,GSM1375016.ch1-vs-GSM1374996.ch1,test_GSE57084_tetracycline_resistant_16µg/ml_tetracycline,ref_GSE57084_MG1655,GSM1375016.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46647,GSM1375015.ch1-vs-GSM1374996.ch1,test_GSE57084_tetracycline_resistant_16µg/ml_tetracycline,ref_GSE57084_MG1655,GSM1375015.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46648,GSM1375014.ch1-vs-GSM1374996.ch1,test_GSE57084_tetracycline_resistant_16µg/ml_tetracycline,ref_GSE57084_MG1655,GSM1375014.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46694,GSM1374999.ch1-vs-GSM1374996.ch1,test_GSE57084_MG1655_0.125µg/ml_enrofloxacin,ref_GSE57084_MG1655,GSM1374999.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46695,GSM1375001.ch1-vs-GSM1374996.ch1,test_GSE57084_MG1655_0.125µg/ml_enrofloxacin,ref_GSE57084_MG1655,GSM1375001.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46696,GSM1375000.ch1-vs-GSM1374996.ch1,test_GSE57084_MG1655_0.125µg/ml_enrofloxacin,ref_GSE57084_MG1655,GSM1375000.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46766,GSM1375009.ch1-vs-GSM1374996.ch1,test_GSE57084_enrofloxacin_resistant_128µg/ml_enrofloxacin,ref_GSE57084_MG1655,GSM1375009.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46767,GSM1375008.ch1-vs-GSM1374996.ch1,test_GSE57084_enrofloxacin_resistant_128µg/ml_enrofloxacin,ref_GSE57084_MG1655,GSM1375008.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46768,GSM1375010.ch1-vs-GSM1374996.ch1,test_GSE57084_enrofloxacin_resistant_128µg/ml_enrofloxacin,ref_GSE57084_MG1655,GSM1375010.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46814,GSM1375002.ch1-vs-GSM1374996.ch1,test_GSE57084_MG1655_0.25µg/ml_tetracycline,ref_GSE57084_MG1655,GSM1375002.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46815,GSM1375004.ch1-vs-GSM1374996.ch1,test_GSE57084_MG1655_0.25µg/ml_tetracycline,ref_GSE57084_MG1655,GSM1375004.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46816,GSM1375003.ch1-vs-GSM1374996.ch1,test_GSE57084_MG1655_0.25µg/ml_tetracycline,ref_GSE57084_MG1655,GSM1375003.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46862,GSM1375006.ch1-vs-GSM1374996.ch1,test_GSE57084_enrofloxacin_resistant,ref_GSE57084_MG1655,GSM1375006.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46863,GSM1375007.ch1-vs-GSM1374996.ch1,test_GSE57084_enrofloxacin_resistant,ref_GSE57084_MG1655,GSM1375007.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
46864,GSM1375005.ch1-vs-GSM1374996.ch1,test_GSE57084_enrofloxacin_resistant,ref_GSE57084_MG1655,GSM1375005.ch1-vs-GSM1374996.ch1,STRAIN.MG1655,1,,,,
47004,GSM517416.ch1-vs-GSM517416.ch2,test_GSE20606_W3110_luxS_mutant,ref_GSE20606_W3110_control,GSM517416.ch1-vs-GSM517416.ch2,STRAIN.W3110,+1,,,,
47005,GSM517417.ch1-vs-GSM517417.ch2,test_GSE20606_W3110_luxS_mutant,ref_GSE20606_W3110_control,GSM517417.ch1-vs-GSM517417.ch2,STRAIN.W3110,+1,,,,
47006,GSM517416.ch1-vs-GSM517416.ch2,test_GSE20606_W3110_luxS_mutant,ref_GSE20606_W3110_control,GSM517416.ch1-vs-GSM517416.ch2,STRAIN.LW12,-1,GSM517416.ch1-vs-GSM517416.ch2,ref_GSE20606_W3110_control,GSM517416.ch1-vs-GSM517416.ch2,-1+1
47007,GSM517416.ch1-vs-GSM517416.ch2,test_GSE20606_W3110_luxS_mutant,ref_GSE20606_W3110_control,GSM517416.ch1-vs-GSM517416.ch2,STRAIN.LW12,-1,GSM517417.ch1-vs-GSM517417.ch2,ref_GSE20606_W3110_control,GSM517417.ch1-vs-GSM517417.ch2,-1+1
47008,GSM517417.ch1-vs-GSM517417.ch2,test_GSE20606_W3110_luxS_mutant,ref_GSE20606_W3110_control,GSM517417.ch1-vs-GSM517417.ch2,STRAIN.LW12,-1,GSM517416.ch1-vs-GSM517416.ch2,ref_GSE20606_W3110_control,GSM517416.ch1-vs-GSM517416.ch2,-1+1
47009,GSM517417.ch1-vs-GSM517417.ch2,test_GSE20606_W3110_luxS_mutant,ref_GSE20606_W3110_control,GSM517417.ch1-vs-GSM517417.ch2,STRAIN.LW12,-1,GSM517417.ch1-vs-GSM517417.ch2,ref_GSE20606_W3110_control,GSM517417.ch1-vs-GSM517417.ch2,-1+1
48196,GSM720473.ch1-vs-GSM720466.ch1,test_GSE29076_EDL933_nsrR_mutant,ref_GSE29076_EDL933_wild_type,GSM720473.ch1-vs-GSM720466.ch1,nsrR-b4178.DELETION,-1,GSM720473.ch1-vs-GSM720466.ch1,ref_GSE29076_EDL933_wild_type,GSM720473.ch1-vs-GSM720466.ch1,-1+1
